Main Tab;Top level Menu Item;Sub Menu Item;Section / Tab;Feature;Sub Feature;Priority;Delivery Milestone;Completion Status;Lost during conversion;Schema Conversion Map reference;Comments
;;;Insert alignment tab;Alignment;Left /center / Right;1;0.3-M2;;;;
;;;;Alignment relative to;Margin / Indent;1;-;;not supported;;
;;;;Leader;1/2/3/4/5;1;0.3-M2;;;;
;;Options;Different First Page;;;1;0.3-M2;Completed;;;
;;;Different Odd and Even Pages;;;1;0.3-M2;Completed;;;
;;;;;;;;;;;
Textbox Tools;Format;Text box styles;Size;Height;Absolute;2;0.3-M2;Completed;;;
;;;;;Relative to Margin;2;0.3-M2;;;;
;;;;;Relative to Page;2;0.3-M2;;;;
;;;;;Relative to Top margin;2;0.3-M2;;;;
;;;;;Relative to Bottom margin;2;0.3-M2;;;;
;;;;;Relative to Inside margin;2;0.3-M2;;;;
;;;;;Relative to Outside margin;2;0.3-M2;;;;
;;;;Width;Absolute;2;0.3-M2;Completed;;;
;;;;;Relative to Margin;2;0.3-M2;;;;
;;;;;Relative to Page;2;0.3-M2;;;;
;;;;;Relative to Top margin;2;0.3-M2;;;;
;;;;;Relative to Bottom margin;2;0.3-M2;;;;
;;;;;Relative to Inside margin;2;0.3-M2;;;;
;;;;;Relative to Outside margin;2;0.3-M2;;;;
;;;;Rotate;;2;0.3-M2;;;;
;;;;Scale;Height;2;0.3-M2;-;not supported;;property is not saved in xml - is is used to calculate absolute size
;;;;;Width;2;0.3-M2;-;not supported;;property is not saved in xml - is is used to calculate absolute size
;;;;;Lock aspect ratio;2;0.3-M2;-;not supported;;in OO only position can be locked
;;;;;Relative to orginal picture size;2;0.3-M2;-;there is no equivalent in OO;;
;;;;;;;;;;;
;;;Layout;Wrapping style;In line with text;2;0.3-M2;Completed;;;
;;;;;Square;2;0.3-M2;Completed;;;
;;;;;Tight;2;0.3-M2;Completed;;;
;;;;;Behind text;2;0.3-M2;Completed;;;
;;;;;In front of text;2;0.3-M2;Completed;;;
