OOX Experience / Scenario;Feature;Priority ;Delivery Milestone ;Completion Status;Developer;Technical description;Remarks/Questions
;tblGrid (Table Grid) ;;;Completed;;style:table-properties/@style:width;
;tblGrid (Previous Table Grid);;;Completed;;style:table-properties/@style:width;
;tblHeader (Repeat Table Row on Every New Page) ;;;;;table:table-header-rows;
;tblInd (Table Indent from Leading Margin Exception) ;;;Completed;;style:table-properties/@fo:margin-left;
;tblInd (Table Indent from Leading Margin);;;Completed;;style:table-properties/@fo:margin-left;
;tblLayout (Table Layout) ;;;;;;
;tblLayout (Table Layout Exception);;;;;;
;tblLook (Table Style Conditional Formatting Settings);;;;;;
;tblLook (Table Style Conditional Formatting Settings Exception) ;;;;;;
;tblOverlap (Floating Table Allows Other Tables to Overlap) ;;;;;;
;tblpPr (Floating Table Positioning);;;Completed;;table:align;
;tblPr (Table Properties) ;;;;;;
;tblPr (Previous Table Properties) ;;;;;;
;tblPrEx (Table-Level Property Exceptions) ;;;;;;
;tblPrEx (Previous Table-Level Property Exceptions) ;;;;;;
;tblStyle (Referenced Table Style);;;;;;
;tblW (Preferred Table Width Exception) ;;;;;;
;tblW (Preferred Table Width);;;;;;
;tc (Table Cell) ;;;Completed;;table:table-cell;
;tcBorders (Table Cell Borders);;;Completed;;style:border-line-width-bottom;
;tcFitText (Fit Text Within Cell) ;;;;;;
;tcMar (Single Table Cell Margins) ;;;;;;
;tcPr (Previous Table Cell Properties) ;;;;;;
;tcPr (Table Cell Properties) ;;;;;;
;tcW (Preferred Table Cell Width) ;;;;;;
;textDirection (Table Cell Text Flow Direction) ;;;;;;
;tl2br (Table Cell Top Left to Bottom Right Diagonal Border) ;;;;;;
;top (Table Top Border) ;;;Completed;;style:border-line-width-top/@fo:border-top;
;top (Table Cell Top Margin Default) ;;;Completed;;style:border-line-width-top/@fo:border-top;
;top (Table Cell Top Margin Exception) ;;;Completed;;style:border-line-width-top/@fo:border-top;
;top (Table Cell Top Border) ;;;Completed;;style:border-line-width-top/@fo:border-top;
;tr (Table Row) ;;;Completed;;table:table-row;
;tr2bl (Table Cell Top Right to Bottom Left Diagonal Border) ;;;;;;
;trHeight (Table Row Height);;;;;;
;trPr (Table Row Properties);;;;;;
;trPr (Previous Table Row Properties) ;;;;;;
;vAlign (Table Cell Vertical Alignment) ;;;Completed;;style:table-cell-properties/@fo:vertical-align;
;vMerge (Vertically Merged Cell) ;;;;;;
;wAfter (Preferred Width After Table Row) ;;;;;;
;wBefore (Preferred Width Before Table Row) ;;;;;;
Custom Markup;;;;;;;
;Custom XML and Smart Tags;;;;;;
;Structured Document Tags ;;;;;;
Sections;;;;;;;
;bidi (Right to Left Section Layout);;;Not implemented;;ODF does not support.;
;bottom (Bottom Border);;;Completed?;;"style:page-layout-properties/@style:shadow=""#000000 0.049cm 0.049cm"" if and only if borders are defined";
;;;;;;"style:page-layout-properties/@fo:border-bottom=""solid "".w:pgBorders/w:bottom/@w:sz."" #"".w:pgBorders/w:bottom/@w:color";
;col (Single Column Definition) ;;;Completed;;style:column;
;cols (Column Definitions) ;;;Completed;;style:columns;
;docGrid (Document Grid);;;Not implemented;;ODF does not support this feature;
;formProt (Only Allow Editing of Form Fields) ;;;Not implemented;;ODF does not support this feature;
;left (Left Border) ;;;Completed;;"style:page-layout-properties/@style:shadow == ""#000000 0.049cm 0.049cm""";
;;;;;;"style:page-layout-properties/@fo:border-bottom == ""solid "".w:pgBorders/w:bottom/@w:sz in centimeters."" #"".w:pgBorders/w:bottom/@w:color";
;lnNumType (Line Numbering Settings) ;;;;;"<style:style style:name=""Line_20_numbering"" style:display-name=""Line numbering"" style:family=""text""/>";
;;;;;;"if and only if w:lnNumType/@w:restart == 'continuous' , text:linenumbering-configuration/@text:restart-on-page is set ""true"" text:linenumbering-configuration/@text:increment == key('sectPr', '')/w:lnNumType/@w:countBy (or 1 if @w:countBy is not set)
";
;;;;;;text:linenumbering-configuration/@text:offset == /w:lnNumType/@w:distance in centimeters;
;paperSrc (Paper Source Information) ;;;Not implemented;;ODF does not support this feature;
;pgBorders (Page Borders) ;;;;;;
;pgMar (Page Margins) ;;;Completed;rebet;;
;pgNumType (Page Numbering Settings) ;;;;;;
;pgSz (Page Size) ;;;Completed;rebet;;
;right (Right Border) ;;;;;;
;rtlGutter (Gutter on Right Side of Page) ;;;;;;
;sectPr (Previous Section Properties) ;;;Completed;;;
;sectPr (Document Final Section Properties) ;;;Completed;;;
;sectPr (Section Properties);;;Completed;;;
;textDirection (Text Flow Direction);;;;;;
;top (Top Border) ;;;;;;
;type (Section Type) ;;;;;;
;vAlign (Vertical Text Alignment on Page) ;;;;;;
General Style Properties ;;;;;;;
;aliases (Secondary Style Names) ;;;;;;
;autoRedefine (Automatically Redefine Style) ;;;;;;
;basedOn (Parent Style ID) ;;;Completed;;style:parent-style-name;
;hidden (Hide style) ;;;;;;
;latentStyles (Latent styles) ;;;;;;
;link (Linked style id) ;;;;;;
;locked (Locked style) ;;;;;;
;lsdException (Latent style instance) ;;;;;;
;name (Primary style name) ;;;Completed;;style:name;
;next (StyleID name) ;;;;;;
;qFormat (QuickFormat Style) ;;;;;;
;rsid (Style Revision identified) ;;;;;;
;semiHidden (Semi hidden text) ;;;;;;
;sti (Unique numerical identifier) ;;;;;;
;style (Style definition) ;;;Completed;;style:style;
;styles (Style definitions) ;;;;;;
;styles (Context-Free chunk style definition) ;;;;;;
;uiPriority (Alternate sorting order for style list) ;;;;;;
;unhideWhenUsed (Unhide when used) ;;;;;;
;versionOfBuiltInStylenames (Builtin style version) ;;;;;;
Document Defaults Styles;;;;;;;
;docDefaults (Default Text Properties) ;;;;;;
;pPr (Default Paragraph Properties) ;;;;;;
;pPrDefault (Default Document Paragraph Properties) ;;;;;;
;rPr (Run properties) ;;;;;;
;rPrDefault (Default run properties) ;;;;;;
Table Styles;;;;;;;
;pPr (Table Style Content Paragraph Properties);;;;;;
;rPr (Run properties) ;;;;;;
;tblPr (Table properties);;;;Completed;style:border-line-width-top;
;tblPr (Table Properties) ;;;;Completed;style:border-line-width-top;
;tblStyleColBandSize (Number of Columns in Column Band) ;;;;;;
;tblStylePr (Table style conditional formatting) ;;;;;;
;tblStyleRowBandSize (Number of Rows in Row Band) ;;;;;;
;tcPr (Style Table Cell Properties) ;;;;;;
;tcPr (Table Style Table Cell Properties) ;;;;;style:style;
;trPr (Table Style Row Properties) ;;;;;;
;trPr (Style Table Row Properties) ;;;;;;
Numbering Styles;;;;;;;
Paragraph Styles;;;;;;;
;pPr (Style Paragraph Properties) ;;;Completed;;style:paragraph-properties;
Run (Character) Styles ;;;;;;;
;rPr (Run properties) ;;;Completed;;style:text-properties;
Fonts;;;;;;;
;altName (Font alternate name) ;;;;;;
;charset (Character set) ;;;;;;
