Document Metadata;;;;;;
;Stacked Chart Bars;;;;;
Chart Axes Properties;;;;;;
;Linked Data Formats;;;;;
;Visibility;;;;;
;Scaling;;;;;
;Tick Marks;;;;;
;Labels;;;;;
Common Chart Properties;;;;;;
;Stacked Text;;;;;
;Rotation Angle;;;;;
;Data Labels;;;;;
Statistical Properties;;;;;;
;Mean Value;;;;;
;Error Category;;;;;
Plot Area Properties;;;;;;
;Series Source;;;;;
Regression Curve Properties;;;;;;
;Regression Type;;;;;
